"Dato";"Åbning";"Høj";"Lav";"Luk";"Volumen";"Markedsværdi";"Ændring, %"
"2025-03-01";"16081.11";"16394.1";"15399.37";"15935.94";"132.89B";"1.92T";"-0.99"
"2025-03-02";"15936.01";"18330.51";"15610.02";"18097.15";"111.54B";"2.18T";"+13.56"
"2025-03-03";"17932.04";"17970.78";"14939.64";"15303.53";"294.59B";"1.85T";"-15.44"
"2025-03-04";"15122.44";"15635.15";"14025.95";"15280.7";"244.05B";"1.84T";"-0.15"
"2025-03-05";"15010.06";"15715.18";"14896.21";"15494.54";"185.41B";"1.87T";"+1.40"
"2025-03-06";"15479.52";"16020.92";"15032.8";"15207.51";"126.26B";"1.83T";"-1.85"
"2025-03-07";"15148.78";"15535.79";"14458.21";"14731.85";"139.38B";"1.78T";"-3.13"
"2025-03-08";"14744.7";"15387.27";"14493.13";"15171.43";"106.41B";"1.83T";"+2.98"
"2025-03-09";"15171.36";"15229.4";"13698.61";"13910.32";"71.02B";"1.68T";"-8.31"
"2025-03-10";"13911.67";"14820.35";"12462.82";"12842.15";"199.62B";"1.55T";"-7.68"
"2025-03-11";"12740.01";"13410.03";"11982.96";"13138.37";"275.98B";"1.58T";"+2.31"
"2025-03-12";"13176.2";"13426.78";"12534.31";"13071.93";"160.74B";"1.58T";"-0.51"
"2025-03-13";"13123.84";"13226.24";"12529.68";"12823.9";"122.39B";"1.55T";"-1.90"
"2025-03-14";"12783.07";"13338.72";"12760.58";"13105.7";"96.13B";"1.58T";"+2.20"
"2025-03-15";"13111.17";"13423.58";"13057.06";"13286.27";"56.52B";"1.60T";"+1.38"
"2025-03-16";"13286.34";"13311.65";"12759.6";"12942.18";"53.61B";"1.56T";"-2.59"
"2025-03-17";"12891.86";"13338.6";"12843.84";"13160.36";"74.72B";"1.59T";"+1.69"
"2025-03-18";"13126.39";"13193.85";"12758.48";"13162.09";"69.32B";"1.59T";"+0.01"
"2025-03-19";"13220.23";"14167.22";"13193.13";"14072.5";"105.24B";"1.70T";"+6.92"
"2025-03-20";"14132.26";"14213.71";"13418.24";"13635.58";"114.53B";"1.64T";"-3.10"
"2025-03-21";"13680.22";"13769.45";"13358.24";"13555.81";"74.84B";"1.64T";"-0.59"
"2025-03-22";"13557.51";"13839.39";"13547.86";"13660.62";"51.01B";"1.65T";"+0.77"
"2025-03-23";"13660.55";"13936.84";"13633.86";"13835.11";"47.95B";"1.67T";"+1.28"
"2025-03-24";"13853.97";"14531.61";"13658.38";"14373.39";"91.52B";"1.73T";"+3.89"
"2025-03-25";"14384.84";"14498.88";"14079.89";"14280.82";"82.01B";"1.72T";"-0.64"
"2025-03-26";"14337.08";"14427.64";"13750.32";"13944.06";"82.72B";"1.68T";"-2.36"
"2025-03-27";"13889.6";"14082.17";"13734.36";"13849.1";"86.15B";"1.67T";"-0.68"
"2025-03-28";"13809.89";"13894.39";"12819.68";"13074";"122.04B";"1.58T";"-5.60"
"2025-03-29";"13069.83";"13184.9";"12382.89";"12595.65";"78.72B";"1.52T";"-3.66"
"2025-03-30";"12595.72";"12739.86";"12179.56";"12455.51";"71.57B";"1.50T";"-1.11"
"2025-03-31";"12471.6";"12792.26";"12257.8";"12572.94";"111.63B";"1.52T";"+0.94"
"2025-04-01";"12603.56";"13332.97";"12572.09";"13174.46";"103.72B";"1.59T";"+4.78"
"2025-04-02";"13100.17";"13457.9";"12251.23";"12345.37";"92.92B";"1.49T";"-6.29"
"2025-04-03";"12146.75";"12485.4";"11840.85";"12295.74";"173.97B";"1.48T";"-0.40"
"2025-04-04";"12392.96";"12518.79";"11993.94";"12390.51";"115.22B";"1.50T";"+0.77"
"2025-04-05";"12368.77";"12439.64";"12011.44";"12294.77";"62.61B";"1.48T";"-0.77"
"2025-04-06";"12294.84";"12369.59";"10466.84";"10761.34";"53.52B";"1.30T";"-12.47"
"2025-04-07";"10815.47";"11213.87";"9653.99";"10625.74";"364.95B";"1.28T";"-1.26"
"2025-04-08";"10583.5";"11030.75";"9822.03";"10040.85";"140.39B";"1.21T";"-5.50"
"2025-04-09";"10044.53";"11514.25";"9442.16";"11381.38";"208.48B";"1.37T";"+13.35"
"2025-04-10";"11129.96";"11132.22";"9806.7";"10148.23";"198.98B";"1.22T";"-10.83"
"2025-04-11";"10007.36";"10462.48";"9891.59";"10300.63";"116.38B";"1.24T";"+1.50"
"2025-04-12";"10295.77";"10970.88";"10159.16";"10803.91";"82.77B";"1.30T";"+4.89"
"2025-04-13";"10803.97";"10840.51";"10263.97";"10498.88";"79.84B";"1.27T";"-2.82"
"2025-04-14";"10508.15";"11124.66";"10493.68";"10679.21";"113.11B";"1.29T";"+1.72"
"2025-04-15";"10744.39";"10992.06";"10475.35";"10512.8";"89.26B";"1.27T";"-1.56"
"2025-04-16";"10406.28";"10569.31";"10074.2";"10330.11";"81.81B";"1.25T";"-1.74"
"2025-04-17";"10358.56";"10620.03";"10266.94";"10401.06";"84.39B";"1.26T";"+0.69"
"2025-04-18";"10372.46";"10483.87";"10306.37";"10405.01";"64.69B";"1.26T";"+0.04"
"2025-04-19";"10403.58";"10686.56";"10380.07";"10565.14";"40.10B";"1.28T";"+1.54"
"2025-04-20";"10565.08";"10603.91";"10252.89";"10395.46";"49.99B";"1.25T";"-1.61"
"2025-04-21";"10289.43";"10752.18";"10138.46";"10238.93";"84.82B";"1.24T";"-1.51"
"2025-04-22";"10320.28";"11616.74";"10043.84";"11474.7";"135.92B";"1.39T";"+12.07"
"2025-04-23";"11777.98";"12058.43";"11602.16";"11820.58";"169.16B";"1.43T";"+3.01"
"2025-04-24";"11824.37";"11877.55";"11370.56";"11660.95";"99.62B";"1.41T";"-1.35"
"2025-04-25";"11615.45";"11992.34";"11424.24";"11720.8";"106.75B";"1.41T";"+0.51"
"2025-04-26";"11726.45";"12057.56";"11688.95";"11958.77";"89.14B";"1.44T";"+2.03"
"2025-04-27";"11967.94";"12208.5";"11711.81";"11773.52";"69.21B";"1.42T";"-1.55"
"2025-04-28";"11738.92";"11969.47";"11458.37";"11791.35";"90.02B";"1.42T";"+0.15"
"2025-04-29";"11817.58";"12100.63";"11690.14";"11803.99";"108.91B";"1.43T";"+0.11"
